"도시별","지출목적별","시점","소비자물가지수[기준년도 2020년]",
"전국","06 보건","2022 년","100.76",
"전국","06 보건","2023 년","102.4",
"전국","07 교통","1985 년","27.743",
"전국","07 교통","1986 년","28.196",
"전국","07 교통","1987 년","28.717",
"전국","07 교통","1988 년","30.219",
"전국","07 교통","1989 년","31.186",
"전국","07 교통","1990 년","31.983",
"전국","07 교통","1991 년","35.498",
"전국","07 교통","1992 년","38.843",
"전국","07 교통","1993 년","42.15",
"전국","07 교통","1994 년","45.357",
"전국","07 교통","1995 년","48.184",
"전국","07 교통","1996 년","51.774",
"전국","07 교통","1997 년","56.769",
"전국","07 교통","1998 년","66.33",
"전국","07 교통","1999 년","67.852",
"전국","07 교통","2000 년","70.871",
"전국","07 교통","2001 년","73.665",
"전국","07 교통","2002 년","74.397",
"전국","07 교통","2003 년","77.396",
"전국","07 교통","2004 년","80.107",
"전국","07 교통","2005 년","84.129",
"전국","07 교통","2006 년","88.02",
"전국","07 교통","2007 년","91.153",
"전국","07 교통","2008 년","99.173",
"전국","07 교통","2009 년","95.661",
"전국","07 교통","2010 년","100.348",
"전국","07 교통","2011 년","107.373",
"전국","07 교통","2012 년","110.852",
"전국","07 교통","2013 년","110.267",
"전국","07 교통","2014 년","108.496",
"전국","07 교통","2015 년","99.99",
"전국","07 교통","2016 년","97.775",
"전국","07 교통","2017 년","101.277",
"전국","07 교통","2018 년","103.727",
"전국","07 교통","2019 년","101.867",
"전국","07 교통","2020 년","100",
"전국","07 교통","2021 년","106.33",
"전국","07 교통","2022 년","116.68",
"전국","07 교통","2023 년","112.7",
"전국","08 통신","1985 년","156.966",
"전국","08 통신","1986 년","166.225",
"전국","08 통신","1987 년","169.102",
"전국","08 통신","1988 년","169.076",
"전국","08 통신","1989 년","150.886",
"전국","08 통신","1990 년","160.889",
"전국","08 통신","1991 년","155.19",
"전국","08 통신","1992 년","154.881",
"전국","08 통신","1993 년","153.997",
"전국","08 통신","1994 년","150.149",
"전국","08 통신","1995 년","146.66",
"전국","08 통신","1996 년","146.049",
"전국","08 통신","1997 년","141.784",
"전국","08 통신","1998 년","141.54",
"전국","08 통신","1999 년","140.843",
"전국","08 통신","2000 년","137.593",
"전국","08 통신","2001 년","133.247",
"전국","08 통신","2002 년","127.25",
"전국","08 통신","2003 년","120.681",
"전국","08 통신","2004 년","118.8",
"전국","08 통신","2005 년","116.621",
"전국","08 통신","2006 년","115.125",
"전국","08 통신","2007 년","112.812",
"전국","08 통신","2008 년","111.179",
"전국","08 통신","2009 년","110.994",
"전국","08 통신","2010 년","109.981",
"전국","08 통신","2011 년","108.203",
"전국","08 통신","2012 년","105.419",
"전국","08 통신","2013 년","105.282",
"전국","08 통신","2014 년","105.217",
"전국","08 통신","2015 년","105.017",
"전국","08 통신","2016 년","105.105",
"전국","08 통신","2017 년","105.41",
"전국","08 통신","2018 년","104.507",
"전국","08 통신","2019 년","102.112",
"전국","08 통신","2020 년","100",
"전국","08 통신","2021 년","99.1",
"전국","08 통신","2022 년","100.02",
"전국","08 통신","2023 년","101.04",
"전국","09 오락 및 문화","1985 년","64.869",
"전국","09 오락 및 문화","1986 년","66.21",
"전국","09 오락 및 문화","1987 년","67.614",
"전국","09 오락 및 문화","1988 년","70.101",
"전국","09 오락 및 문화","1989 년","71.912",
"전국","09 오락 및 문화","1990 년","75.285",
"전국","09 오락 및 문화","1991 년","78.064",
"전국","09 오락 및 문화","1992 년","80.047",
"전국","09 오락 및 문화","1993 년","83.472",
"전국","09 오락 및 문화","1994 년","85.561",
"전국","09 오락 및 문화","1995 년","88.673",
"전국","09 오락 및 문화","1996 년","92.124",
"전국","09 오락 및 문화","1997 년","92.945",
"전국","09 오락 및 문화","1998 년","96.121",
"전국","09 오락 및 문화","1999 년","96.077",
"전국","09 오락 및 문화","2000 년","95.086",
"전국","09 오락 및 문화","2001 년","94.746",
"전국","09 오락 및 문화","2002 년","95.324",
"전국","09 오락 및 문화","2003 년","95.713",
"전국","09 오락 및 문화","2004 년","95.633",
"전국","09 오락 및 문화","2005 년","95.728",
"전국","09 오락 및 문화","2006 년","93.454",
"전국","09 오락 및 문화","2007 년","91.843",
"전국","09 오락 및 문화","2008 년","93.199",
"전국","09 오락 및 문화","2009 년","95.362",
"전국","09 오락 및 문화","2010 년","96.199",
"전국","09 오락 및 문화","2011 년","97.714",
"전국","09 오락 및 문화","2012 년","97.964",
"전국","09 오락 및 문화","2013 년","98.968",
"전국","09 오락 및 문화","2014 년","99.392",
"전국","09 오락 및 문화","2015 년","98.906",
"전국","09 오락 및 문화","2016 년","100.729",
"전국","09 오락 및 문화","2017 년","100.781",
"전국","09 오락 및 문화","2018 년","101.272",
"전국","09 오락 및 문화","2019 년","101.023",
"전국","09 오락 및 문화","2020 년","100",
"전국","09 오락 및 문화","2021 년","100.43",
"전국","09 오락 및 문화","2022 년","103.29",
"전국","09 오락 및 문화","2023 년","107.07",
